Term,Text:1,Text:2
знаменит,0.0,0.007145847222267477
британск,0.0,0.0035729236111337387
учен,0.0,0.007145847222267477
профессор,0.0,0.0035729236111337387
кембриджск,0.0,0.0035729236111337387
университет,0.0,0.0035729236111337387
стив,0.0,0.010718770833401215
хокинг,0.0,0.010718770833401215
в,0.0,0.0
интерв,0.0,0.0035729236111337387
информацион,0.0,0.0035729236111337387
агентств,0.0,0.0
тасс,0.0,0.0035729236111337387
выраз,0.0,0.0035729236111337387
уверен,0.0,0.0035729236111337387
том,0.0,0.0
что,0.0,0.0
колонизац,0.0,0.0
марс,0.0,0.0
произойт,0.0,0.0
течен,0.0,0.007145847222267477
ближайш,0.0,0.0
ста,0.0,0.0035729236111337387
летп,0.0,0.0035729236111337387
мнен,0.0,0.0035729236111337387
колонизирова,0.0,0.0
лун,0.0,0.0035729236111337387
человечеств,0.0,0.0
был,0.0,0.0035729236111337387
бы,0.0,0.007145847222267477
значительн,0.0,0.0035729236111337387
прост,0.0,0.0035729236111337387
чем,0.0,0.0035729236111337387
учитыва,0.0,0.0035729236111337387
расстоян,0.0,0.0035729236111337387
межд,0.0,0.0035729236111337387
он,0.0,0.007145847222267477
и,0.0,0.0
земл,0.0,0.0
однак,0.0,0.0035729236111337387
освоен,0.0,0.0035729236111337387
красн,0.0,0.0035729236111337387
планет,0.0,0.0
представля,0.0,0.0035729236111337387
бол,0.0,0.0035729236111337387
интересн,0.0,0.0035729236111337387
задач,0.0,0.0035729236111337387
так,0.0,0.0
как,0.0,0.0
требова,0.0,0.0
создан,0.0,0.0
действительн,0.0,0.0035729236111337387
автономн,0.0,0.0035729236111337387
колониивниман,0.0,0.0035729236111337387
nasa,0.0,0.0
друг,0.0,0.0
миров,0.0,0.0035729236111337387
космическ,0.0,0.0
сосредоточ,0.0,0.0035729236111337387
на,0.0,0.0
 ,0.0,0.0
счита,0.0,0.0035729236111337387
эт,0.0,0.0
близк,0.0,0.0
похож,0.0,0.0035729236111337387
с,0.0,0.0
почв,0.0,0.0035729236111337387
атмосфер,0.0,0.0035729236111337387
у,0.0,0.0035729236111337387
мен,0.0,0.0035729236111337387
нет,0.0,0.0035729236111337387
сомнен,0.0,0.0035729236111337387
100,0.0,0.0035729236111337387
лет,0.0,0.0035729236111337387
человек,0.0,0.0
быт,0.0,0.0
жит,0.0,0.0035729236111337387
марседл,0.0,0.0035729236111337387
необходим,0.0,0.0
инвестиц,0.0,0.0035729236111337387
нов,0.0,0.0
знан,0.0,0.0035729236111337387
о,0.0,0.0035729236111337387
выж,0.0,0.0035729236111337387
услов,0.0,0.0035729236111337387
радиац,0.0,0.0035729236111337387
борот,0.0,0.0035729236111337387
отсутств,0.0,0.0035729236111337387
жизнен,0.0,0.0035729236111337387
важн,0.0,0.0035729236111337387
ресурс,0.0,0.0035729236111337387
за,0.0,0.0
предел,0.0,0.0035729236111337387
говор,0.0,0.007145847222267477
физик,0.0,0.0035729236111337387
теоретик,0.0,0.0035729236111337387
такж,0.0,0.0035729236111337387
увер,0.0,0.0035729236111337387
будущ,0.0,0.0035729236111337387
для,0.0,0.0
выживан,0.0,0.0035729236111337387
прийт,0.0,0.0035729236111337387
покинут,0.0,0.0035729236111337387
наш,0.0,0.007145847222267477
планетусуществова,0.0,0.0035729236111337387
множеств,0.0,0.0035729236111337387
угроз,0.0,0.007145847222267477
дальн,0.0,0.0035729236111337387
существован,0.0,0.0035729236111337387
например,0.0,0.0
ядерн,0.0,0.0035729236111337387
войн,0.0,0.0035729236111337387
катастрофическ,0.0,0.0035729236111337387
глобальн,0.0,0.0
потеплен,0.0,0.0035729236111337387
генетическ,0.0,0.0035729236111337387
модифицирова,0.0,0.0035729236111337387
вирус,0.0,0.0035729236111337387
числ,0.0,0.0035729236111337387
вероятн,0.0,0.0
увелич,0.0,0.0035729236111337387
развит,0.0,0.0
технолог,0.0,0.0
мы,0.0,0.0035729236111337387
рассредоточ,0.0,0.0035729236111337387
космос,0.0,0.0
отправ,0.0,0.0035729236111337387
к,0.0,0.0035729236111337387
звезд,0.0,0.0035729236111337387
чтоб,0.0,0.0
катастроф,0.0,0.0
не,0.0,0.0035729236111337387
означа,0.0,0.0035729236111337387
конец,0.0,0.0035729236111337387
